Entity,Code,Year,Primary energy consumption per GDP (kWh/$),Primary energy consumption per GDP (kWh/$)_mean,Normalized
Afghanistan,AFG,1980,0.50820976,0.7163708138461539,0.7094227600807058
Afghanistan,AFG,1981,0.561018,0.7163708138461539,0.7831391077868269
Afghanistan,AFG,1982,0.5849867,0.7163708138461539,0.8165976177326933
Afghanistan,AFG,1983,0.6825386,0.7163708138461539,0.952772763501474
Afghanistan,AFG,1984,0.6729698,0.7163708138461539,0.9394154354039965
Afghanistan,AFG,1985,0.65565634,0.7163708138461539,0.9152471420210695
Afghanistan,AFG,1986,0.6497442,0.7163708138461539,0.9069942373999865
Afghanistan,AFG,1987,1.1689829,0.7163708138461539,1.631812571653775
Afghanistan,AFG,1988,2.2481165,0.7163708138461539,3.13820225021451
Afghanistan,AFG,1989,2.3760397,0.7163708138461539,3.3167734559748174
Afghanistan,AFG,1990,2.4296339,0.7163708138461539,3.3915869449725826
Afghanistan,AFG,1991,1.154009,0.7163708138461539,1.6109101287979501
Afghanistan,AFG,1992,0.7231515,0.7163708138461539,1.0094653299977996
Afghanistan,AFG,1993,0.92585003,0.7163708138461539,1.292417295770558
Afghanistan,AFG,1994,1.1131392,0.7163708138461539,1.5538589491434183
Afghanistan,AFG,1995,0.6036066,0.7163708138461539,0.8425896035033459
Afghanistan,AFG,1996,0.6036235,0.7163708138461539,0.8426131946375369
Afghanistan,AFG,1997,0.58544683,0.7163708138461539,0.8172399247489851
Afghanistan,AFG,1998,0.5774998,0.7163708138461539,0.8061464661010359
Afghanistan,AFG,1999,0.585959,0.7163708138461539,0.817954875707484
Afghanistan,AFG,2000,0.5240797,0.7163708138461539,0.7315760076631908
Afghanistan,AFG,2001,0.42318857,0.7163708138461539,0.5907395469225286
Afghanistan,AFG,2002,0.23547938,0.7163708138461539,0.32871157708914
Afghanistan,AFG,2003,0.24710909,0.7163708138461539,0.34494578118458713
Afghanistan,AFG,2004,0.21539713,0.7163708138461539,0.3006782602484112
Afghanistan,AFG,2005,0.24227831,0.7163708138461539,0.33820237412970755
Afghanistan,AFG,2006,0.26983193,0.7163708138461539,0.3766651638852898
Afghanistan,AFG,2007,0.26594257,0.7163708138461539,0.371235908638111
Afghanistan,AFG,2008,0.43935668,0.7163708138461539,0.613309017492099
Afghanistan,AFG,2009,0.60195595,0.7163708138461539,0.8402854197369278
Afghanistan,AFG,2010,0.70349663,0.7163708138461539,0.9820286036263354
